Font: Xiaolai  Style: Regular
Point Size: 33   SP/PD Ratio: 15.2%

Characters included: 42244/43124
Missing characters: 880
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 61858	Hex: F1A2	Char []
ID: 61859	Hex: F1A3	Char []
ID: 61860	Hex: F1A4	Char []
ID: 61861	Hex: F1A5	Char []
ID: 61862	Hex: F1A6	Char []
ID: 61863	Hex: F1A7	Char []
ID: 61864	Hex: F1A8	Char []
ID: 61865	Hex: F1A9	Char []
ID: 61866	Hex: F1AA	Char []
ID: 61867	Hex: F1AB	Char []
ID: 61868	Hex: F1AC	Char []
ID: 61952	Hex: F200	Char []
ID: 61953	Hex: F201	Char []
ID: 61954	Hex: F202	Char []
ID: 61968	Hex: F210	Char []
ID: 61969	Hex: F211	Char []
ID: 61970	Hex: F212	Char []
ID: 61971	Hex: F213	Char []
ID: 61972	Hex: F214	Char []
ID: 61973	Hex: F215	Char []
ID: 61974	Hex: F216	Char []
ID: 61975	Hex: F217	Char []
ID: 61976	Hex: F218	Char []
ID: 61977	Hex: F219	Char []
ID: 61978	Hex: F21A	Char []
ID: 61979	Hex: F21B	Char []
ID: 61980	Hex: F21C	Char []
ID: 61981	Hex: F21D	Char []
ID: 61982	Hex: F21E	Char []
ID: 61983	Hex: F21F	Char []
ID: 61984	Hex: F220	Char []
ID: 61985	Hex: F221	Char []
ID: 61986	Hex: F222	Char []
ID: 61987	Hex: F223	Char []
ID: 61988	Hex: F224	Char []
ID: 61989	Hex: F225	Char []
ID: 61990	Hex: F226	Char []
ID: 61991	Hex: F227	Char []
ID: 61992	Hex: F228	Char []
ID: 61993	Hex: F229	Char []
ID: 61994	Hex: F22A	Char []
ID: 61995	Hex: F22B	Char []
ID: 61996	Hex: F22C	Char []
ID: 61997	Hex: F22D	Char []
ID: 61998	Hex: F22E	Char []
ID: 61999	Hex: F22F	Char []
ID: 62000	Hex: F230	Char []
ID: 62001	Hex: F231	Char []
ID: 62002	Hex: F232	Char []
ID: 62003	Hex: F233	Char []
ID: 62004	Hex: F234	Char []
ID: 62005	Hex: F235	Char []
ID: 62006	Hex: F236	Char []
ID: 62007	Hex: F237	Char []
ID: 62008	Hex: F238	Char []
ID: 62009	Hex: F239	Char []
ID: 62010	Hex: F23A	Char []
ID: 62011	Hex: F23B	Char []
ID: 62016	Hex: F240	Char []
ID: 62017	Hex: F241	Char []
ID: 62018	Hex: F242	Char []
ID: 62019	Hex: F243	Char []
ID: 62020	Hex: F244	Char []
ID: 62021	Hex: F245	Char []
ID: 62022	Hex: F246	Char []
ID: 62023	Hex: F247	Char []
ID: 62024	Hex: F248	Char []
ID: 62032	Hex: F250	Char []
ID: 62033	Hex: F251	Char []
ID: 11	Hex: B	Char []
ID: 134	Hex: 86	Char []
ID: 135	Hex: 87	Char []
ID: 137	Hex: 89	Char []
ID: 138	Hex: 8A	Char []
ID: 148	Hex: 94	Char []
ID: 805	Hex: 325	Char [̥]
ID: 811	Hex: 32B	Char [̫]
ID: 833	Hex: 341	Char [́]
ID: 837	Hex: 345	Char [ͅ]
ID: 838	Hex: 346	Char [͆]
ID: 839	Hex: 347	Char [͇]
ID: 881	Hex: 371	Char [ͱ]
ID: 895	Hex: 37F	Char [Ϳ]
ID: 896	Hex: 380	Char [΀]
ID: 897	Hex: 381	Char [΁]
ID: 1343	Hex: 53F	Char [Կ]
ID: 1351	Hex: 547	Char [Շ]
ID: 1422	Hex: 58E	Char [֎]
ID: 1445	Hex: 5A5	Char [֥]
ID: 1457	Hex: 5B1	Char [ֱ]
ID: 1459	Hex: 5B3	Char [ֳ]
ID: 1475	Hex: 5C3	Char [׃]
ID: 1482	Hex: 5CA	Char [׊]
ID: 1488	Hex: 5D0	Char [א]
ID: 1493	Hex: 5D5	Char [ו]
ID: 1494	Hex: 5D6	Char [ז]
ID: 1503	Hex: 5DF	Char [ן]
ID: 1504	Hex: 5E0	Char [נ]
ID: 1515	Hex: 5EB	Char [׫]
ID: 1553	Hex: 611	Char [ؑ]
ID: 1557	Hex: 615	Char [ؕ]
ID: 1561	Hex: 619	Char [ؙ]
ID: 1562	Hex: 61A	Char [ؚ]
ID: 1576	Hex: 628	Char [ب]
ID: 1584	Hex: 630	Char [ذ]
ID: 1622	Hex: 656	Char [ٖ]
ID: 1654	Hex: 676	Char [ٶ]
ID: 1772	Hex: 6EC	Char [۬]
ID: 1806	Hex: 70E	Char [܎]
ID: 1841	Hex: 731	Char [ܱ]
ID: 1871	Hex: 74F	Char [ݏ]
ID: 1913	Hex: 779	Char [ݹ]
ID: 1992	Hex: 7C8	Char [߈]
ID: 2055	Hex: 807	Char [ࠇ]
ID: 2092	Hex: 82C	Char [ࠬ]
ID: 2106	Hex: 83A	Char [࠺]
ID: 2163	Hex: 873	Char [ࡳ]
ID: 2233	Hex: 8B9	Char [ࢹ]
ID: 2261	Hex: 8D5	Char [ࣕ]
