Font: Yozai  Style: Regular
Point Size: 47   SP/PD Ratio: 10.6%

Characters included: 23887/43124
Missing characters: 19237
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 334	Hex: 14E	Char [Ŏ]
ID: 335	Hex: 14F	Char [ŏ]
ID: 416	Hex: 1A0	Char [Ơ]
ID: 417	Hex: 1A1	Char [ơ]
ID: 431	Hex: 1AF	Char [Ư]
ID: 432	Hex: 1B0	Char [ư]
ID: 699	Hex: 2BB	Char [ʻ]
ID: 713	Hex: 2C9	Char [ˉ]
ID: 714	Hex: 2CA	Char [ˊ]
ID: 715	Hex: 2CB	Char [ˋ]
ID: 746	Hex: 2EA	Char [˪]
ID: 747	Hex: 2EB	Char [˫]
ID: 775	Hex: 307	Char [̇]
ID: 4352	Hex: 1100	Char [ᄀ]
ID: 4353	Hex: 1101	Char [ᄁ]
ID: 4354	Hex: 1102	Char [ᄂ]
ID: 4355	Hex: 1103	Char [ᄃ]
ID: 4356	Hex: 1104	Char [ᄄ]
ID: 4357	Hex: 1105	Char [ᄅ]
ID: 4358	Hex: 1106	Char [ᄆ]
ID: 4359	Hex: 1107	Char [ᄇ]
ID: 4360	Hex: 1108	Char [ᄈ]
ID: 4361	Hex: 1109	Char [ᄉ]
ID: 4362	Hex: 110A	Char [ᄊ]
ID: 4363	Hex: 110B	Char [ᄋ]
ID: 4364	Hex: 110C	Char [ᄌ]
ID: 4365	Hex: 110D	Char [ᄍ]
ID: 4366	Hex: 110E	Char [ᄎ]
ID: 4367	Hex: 110F	Char [ᄏ]
ID: 4368	Hex: 1110	Char [ᄐ]
ID: 4369	Hex: 1111	Char [ᄑ]
ID: 4370	Hex: 1112	Char [ᄒ]
ID: 4371	Hex: 1113	Char [ᄓ]
ID: 4372	Hex: 1114	Char [ᄔ]
ID: 4373	Hex: 1115	Char [ᄕ]
ID: 4374	Hex: 1116	Char [ᄖ]
ID: 4375	Hex: 1117	Char [ᄗ]
ID: 4376	Hex: 1118	Char [ᄘ]
ID: 4377	Hex: 1119	Char [ᄙ]
ID: 4378	Hex: 111A	Char [ᄚ]
ID: 4379	Hex: 111B	Char [ᄛ]
ID: 4380	Hex: 111C	Char [ᄜ]
ID: 4381	Hex: 111D	Char [ᄝ]
ID: 4382	Hex: 111E	Char [ᄞ]
ID: 4383	Hex: 111F	Char [ᄟ]
ID: 4384	Hex: 1120	Char [ᄠ]
ID: 4385	Hex: 1121	Char [ᄡ]
ID: 4386	Hex: 1122	Char [ᄢ]
ID: 4387	Hex: 1123	Char [ᄣ]
ID: 4388	Hex: 1124	Char [ᄤ]
ID: 4389	Hex: 1125	Char [ᄥ]
ID: 4390	Hex: 1126	Char [ᄦ]
ID: 4391	Hex: 1127	Char [ᄧ]
ID: 4392	Hex: 1128	Char [ᄨ]
ID: 4393	Hex: 1129	Char [ᄩ]
ID: 4394	Hex: 112A	Char [ᄪ]
ID: 4395	Hex: 112B	Char [ᄫ]
ID: 4396	Hex: 112C	Char [ᄬ]
ID: 4397	Hex: 112D	Char [ᄭ]
ID: 4398	Hex: 112E	Char [ᄮ]
ID: 4399	Hex: 112F	Char [ᄯ]
ID: 4400	Hex: 1130	Char [ᄰ]
ID: 4401	Hex: 1131	Char [ᄱ]
ID: 4402	Hex: 1132	Char [ᄲ]
ID: 4403	Hex: 1133	Char [ᄳ]
ID: 4404	Hex: 1134	Char [ᄴ]
ID: 4405	Hex: 1135	Char [ᄵ]
ID: 4406	Hex: 1136	Char [ᄶ]
ID: 4407	Hex: 1137	Char [ᄷ]
ID: 4408	Hex: 1138	Char [ᄸ]
ID: 4409	Hex: 1139	Char [ᄹ]
ID: 4410	Hex: 113A	Char [ᄺ]
ID: 4411	Hex: 113B	Char [ᄻ]
ID: 4412	Hex: 113C	Char [ᄼ]
ID: 4413	Hex: 113D	Char [ᄽ]
ID: 4414	Hex: 113E	Char [ᄾ]
ID: 4415	Hex: 113F	Char [ᄿ]
ID: 4416	Hex: 1140	Char [ᅀ]
ID: 4417	Hex: 1141	Char [ᅁ]
ID: 4418	Hex: 1142	Char [ᅂ]
ID: 4419	Hex: 1143	Char [ᅃ]
ID: 4420	Hex: 1144	Char [ᅄ]
ID: 4421	Hex: 1145	Char [ᅅ]
ID: 4422	Hex: 1146	Char [ᅆ]
ID: 4423	Hex: 1147	Char [ᅇ]
ID: 4424	Hex: 1148	Char [ᅈ]
ID: 4425	Hex: 1149	Char [ᅉ]
ID: 4426	Hex: 114A	Char [ᅊ]
ID: 4427	Hex: 114B	Char [ᅋ]
ID: 4428	Hex: 114C	Char [ᅌ]
ID: 4429	Hex: 114D	Char [ᅍ]
ID: 4430	Hex: 114E	Char [ᅎ]
ID: 4431	Hex: 114F	Char [ᅏ]
ID: 4432	Hex: 1150	Char [ᅐ]
ID: 4433	Hex: 1151	Char [ᅑ]
ID: 4434	Hex: 1152	Char [ᅒ]
ID: 4435	Hex: 1153	Char [ᅓ]
ID: 4436	Hex: 1154	Char [ᅔ]
ID: 4437	Hex: 1155	Char [ᅕ]
ID: 4438	Hex: 1156	Char [ᅖ]
ID: 4439	Hex: 1157	Char [ᅗ]
ID: 4440	Hex: 1158	Char [ᅘ]
ID: 4441	Hex: 1159	Char [ᅙ]
